Partner,Jan-Sep_2023,Jan-Sep_2024,Y 2015,Y 2016,Y 2017,Y 2018,Y 2019,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2020,Y_2021,Y_2022,Y_2023
Cape Verde,792514,841281,38162,130442,693122,889355,808806,4082,87098,114258,55216,456271,18331,17561,1402858,2644239,1201068,1214049
Cayman Islands,5465653,5111462,5296896,4542221,6592142,9734090,8419728,4885109,4837510,3547907,3256417,4689832,3553468,3916493,5238255,5878623,5793948,6860949
Central African Republic,669033,481807,258183,40497,30810,119163,218235,230351,79668,59985,82348,17615,0,261918,60971,52684,36636,678802
Chad,386319,82022,353831,494649,1581233,315147,4116177,220275,271018,113974,372527,673569,1251772,959598,622934,1771132,339546,496423
Chile,315321696,318827915,461186270,346452658,354715298,374391440,415207483,342056445,293898263,416805174,515321585,575793359,570730432,552671388,345175980,417044455,459616052,409828570
China,1971035737,1816971780,2478130561,2981733038,3579444167,3661971653,2587226278,913973328,984582231,1332387970,1556518483,1635328979,2314160979,2638629452,3427468841,3015488759,2685859682,2590883187
Christmas Island,0,7186,0,0,0,21820,47349,7550,15259,22800,141195,0,0,11040,0,72322,0,0
Cocos (Keeling) Islands,6803,0,0,0,2539,0,0,0,9196,0,6800,654539,0,44596,0,0,0,6803
Colombia,194934751,215527601,296352874,217884676,276159730,314549123,289664557,177540757,165969826,231967573,278806905,300980856,312274724,355879821,185373314,252918488,369691028,262635670
Comoros,0,131982,10234,3093,17559,0,0,4433,0,30830,0,0,4620,0,0,0,0,0
Congo,724039,1121256,2109589,1752822,593408,736826,1463988,1487496,1814913,1107815,1090616,1447036,3490080,1455878,1361734,798497,703199,1193794
"Congo, Dem Republic (Former Zaire)",636707,721758,998589,604308,575969,865384,1717172,847178,1093332,788056,639491,1163356,909037,1193694,734807,1178281,1049906,940986
Cook Islands,45754,41155,84194,20700,11200,202306,0,0,0,4114,31027,12023,0,18460,65000,14782,42202,52889
Costa Rica,45070339,62371239,81266191,82791898,71508025,60763210,54909273,64079746,45584470,47014498,55475634,61578603,48493016,53918812,39533553,50268321,54827151,68169100
Croatia,1193879,3132199,1212710,898285,1029373,1197045,2168638,1594421,2232634,1647588,840239,989837,767870,1865850,1056296,10157112,1636633,1624562
Cuba,394528,469580,25744,26375,35061,25630,60460,0,0,2760,24268,6216,0,2720,27930,73423,69453,528363
Curacao,7077118,16635258,8047932,5872976,7679272,6049615,4708025,0,0,0,2789320,3618718,5416117,5226015,4773142,5158883,7472492,9467894
Cyprus,643886,1240172,264087,256693,1599469,530679,640337,2372783,2350578,1176452,996565,941854,960501,582238,405528,1033420,1373227,980272
Czech Republic,44417809,33071562,42542045,38008711,66702074,76792179,84738748,31312198,24326143,41865136,40157561,42144353,42471464,43065049,52463903,61079522,59993015,59223684
Denmark,33001912,33395872,28527800,30146373,31410871,25706439,32796330,37195030,22745159,16242562,13295185,15170279,16772729,28944551,20719550,38025895,32134340,43565007
Djibouti,1151104,3631652,1051981,1650975,3762936,803906,1033689,646635,1397389,920707,1172163,3882176,996121,580123,2455549,2727985,2010393,1500612
Dominica,1123091,2152450,1080843,895447,1485579,1821895,2608010,3733103,3543925,951359,1204474,904283,786175,920539,1264799,961551,1586080,1374400
Dominican Republic,112139466,121393574,110770051,117167211,138024293,173808472,163529280,62960029,53484675,88452607,96216351,128717569,100804851,109025999,124325928,165477510,187948027,148814073
East Timor,0,7759,0,0,0,46738,24857,25005,5596,51860,218709,248690,0,2535,3888,214587,877727,4192
Ecuador,64576620,66039568,73332291,63733888,72919337,97865701,81014308,70909620,73977696,87180147,88038197,82571325,94381236,98479654,82589444,111612227,94145919,102457084
Egypt,129738342,152387466,184811981,92023830,104499461,75266817,66714462,74812504,46937039,79906947,65091265,82567805,99634391,185533837,70412790,97622427,154396779,169991982
El Salvador,48095670,56723704,42578740,58449413,48505067,49420699,49712161,20561656,27979729,29236000,29469873,30525037,30301365,34273206,37259237,59076781,69290825,65011468
Equatorial Guinea,606617,986977,4751888,3067308,5427784,4052864,5719530,3347153,1887065,2980914,4013443,4711473,3968991,4822878,3924703,1202814,3019891,1151453
Eritrea,151045,4450,59703,77168,1226145,231650,18422,4953,15920,10658,421453,25090,462300,242373,17400,0,0,242944
Estonia,1540359,5570848,1586602,11126428,2196961,6927640,5118820,3179188,3124185,1876725,3977193,5073269,4053620,6705119,1393622,3045605,2203660,2460614
Ethiopia,5865965,4715120,5538636,7077497,7049813,7897965,8079183,401001,2002993,1520590,1598429,1864637,2370454,4356546,4875952,6759167,7010856,7756431
Falkland Islands,2823,0,0,0,0,4100,0,65544,13076,3083,12980,13989,36073,30872,0,0,0,2823
Faroe Islands,234375,2960,348885,176561,34863,4405,59724,5595,0,4254,0,9873,2671,0,12880,0,0,234375
Fed States of Micronesia,2244641,303998,85415,841585,133420,196152,881509,16986242,522744,418329,118917,75367,421748,230281,275169,272895,125927,2292051
Fiji,788342,599704,562508,1101343,700610,1113239,557786,221226,355790,322958,290008,325464,375103,754033,231277,190985,636257,912373
Finland,17925228,29748254,43375936,32972933,31218389,38559965,36934653,89950391,39995217,58066312,120930708,92834772,83353492,64890016,15872427,19966752,20488003,21841200
France,330645194,349243245,490471870,375099447,370145368,447151657,475124247,751194817,483133642,616697007,542988808,503255281,535973902,515511083,343901049,354513910,392897992,444220490
French Guiana,59717,65699,139655,250673,168930,935910,428775,111312,50546,331999,93361,735661,86931,95041,1942640,295448,379097,76262
French Polynesia,6564673,1251289,780878,963338,1178980,2614505,2470679,1003498,886835,1071403,918301,875671,895372,1021010,1048198,1094875,1853887,6765242
French S. Antarctic Terr,0,3779,113477,0,0,0,0,180806,184105,163904,157467,163339,182339,126454,0,4517,16339,0
Gabon,3522670,3788259,2869639,1154658,770177,1337442,2162469,1757991,1625408,1862271,2519206,3349429,2669940,2680046,1552557,981006,1544946,4002036
Gambia,949903,988774,634690,387100,1240852,1923265,2054858,354354,378002,299017,330313,172734,351486,471482,2066359,2029978,1453018,1467456
Gaza Strip,0,0,0,0,0,12627,3483,0,0,6108,0,23620,6800,0,0,0,0,0
Georgia,42082185,81669100,10121959,12034766,16256815,18265727,26164364,9977766,8758924,4056539,7297457,21137515,16308736,17280525,21188575,50405208,39662664,58855504
Germany,1964395796,1836872565,2047764612,2166246857,2410629208,2510446944,2182973052,1706706846,1265021691,1572329039,1742369410,1673520727,1804848263,1924245843,1760177517,1998615746,2233079487,2539416813
Ghana,20883406,13135086,16363042,20843414,28258321,24600185,25030544,9403706,16661206,17367790,24251423,29225117,28507861,15551209,39294777,48243194,41359535,27038489
Gibraltar,18195,702030,105023,6508,433571,531005,1019721,46967,70373,86216,8745,24493,70805,23292,67408,30190,3588,24903
Greece,4821362,4886233,9142126,8702511,4762055,6225550,6921523,13914627,9759758,6661836,5611247,5512608,4124994,12296072,6563786,8542416,10650129,6503432
Greenland,99541,115960,63227,69002,136361,63640,117009,189185,165405,212549,271419,127584,19607,67614,69288,94833,126352,115729
Grenada,2332935,2510204,1310043,2194889,2488872,1598011,1603847,715406,646906,597735,730135,533187,915892,1315229,2465847,2013154,2734845,3066436
Guadeloupe,256452,377721,332345,373049,436715,1449484,837018,782499,363477,684359,322233,232592,372911,485293,1055295,459338,686638,362663
Guatemala,106437333,141167607,116741974,110992010,115630005,103035050,86430040,81546181,86760323,98371350,106230233,111962468,95481606,95170028,83488740,138652773,142210444,147197709
Guinea,973753,1802495,4475557,2250862,3283450,4822160,5107433,4479777,7154480,5917554,9289886,9693380,5459247,4410071,4607359,6513811,3526609,1472127
Guinea-Bissau,0,80769,16480,31704,6540,16896,18390,0,3928,9853,15510,0,14425,18559,6076,23350,3500,0
Guyana,12727141,16811655,20469135,13691974,10616148,10286756,10028287,4044031,2589035,5764058,7870344,11023496,16776654,16296355,23197067,14035763,19227685,17801488
Haiti,6000052,4132333,11357602,11035704,11053546,10773343,9797253,5347111,5435934,9225237,12851350,11090126,9384641,8937376,17488714,19929554,10845687,7873349
Heard Isl & McDonald Isl,0,7054,27464,3864,0,13340,0,0,0,3000,14444,12750,12456,0,0,0,0,8218
Honduras,84152149,82912643,56798005,73033569,66855294,78084055,75881705,123622975,48977850,44043273,45948575,43126587,36954227,40708695,53466989,92699517,107496983,112840116
Hong Kong,224873222,270845090,537955591,410655109,484700880,621361030,529905366,121134606,123526298,148386603,254413335,288816703,407605181,835494401,445266685,391599376,402406356,298871338
Hungary,137825699,142361600,116516371,108641404,139660913,139797521,147575930,82923340,44359861,53660291,51354048,60548255,92969576,93129516,111879122,128251995,141045561,181075113
Iceland,2778057,2828616,4982858,4994484,4547734,5389578,5486108,6636438,2222333,3079543,3741525,3927651,3865733,5105191,3083269,3648519,4309742,4108672
India,593474167,587784980,305747277,295449548,489410495,637471291,541940971,200972054,135594944,223097787,290425058,314337518,248635578,281141201,445003237,612418744,797568003,780580648
Indonesia,81917443,52500924,46821354,35508016,41544003,53641754,54640693,35540461,42277563,68172337,75247177,90223795,77695405,59436995,51337057,59844500,101005969,107810264
Iran,2880,83249,0,31500,206706,78250,143820,0,0,0,0,7544,46300,77045,57000,28500,28500,2880
Iraq,33598490,45973987,64493596,28151581,45469284,32389795,32610938,31985465,50198534,50712223,92394229,14565741,18657065,23292739,32693520,35944588,34970568,47099091
Ireland,19181941,20514882,25033450,23770118,25552095,26231197,29928099,15096121,10925005,9616739,12454895,9073458,14641548,20086824,20946422,21866333,16326814,26542170
Israel,71986120,84565250,80400572,71889998,71645872,62301926,62632177,44873700,44368716,51123316,86776051,91236056,73515136,93072466,70826414,76471698,103398623,93035136
Italy,439702580,315132624,815200667,640403425,830109945,837015834,719312974,174854496,144294711,200896305,254575837,277102443,344945305,516425504,770453789,448105213,547726530,574939832
Ivory Coast,2542407,1866464,2777722,2398464,3367168,3329143,3132831,4199497,1298206,2925659,1414176,3784232,1843788,2685633,3921405,4523225,2480690,3263094
Jamaica,12492609,15804415,36787480,17291274,19460651,18846746,18025311,20821619,10607546,11869938,14477715,15202512,17282144,22927214,15154041,14491990,18092032,19339893
Japan,1128147779,1191757795,1597308771,1655238034,1807250383,1927854286,1548224267,1555161237,839475791,1317396494,1449394700,1502889448,1376096141,1464297206,1150140916,1385489032,1594748758,1559914790
Jordan,44905948,31224255,32547159,44618687,19517296,19286251,12377284,10636028,13028718,17091696,15937820,23021080,18832480,40593926,17139939,24431754,26248209,56489440
Kazakhstan,25578353,26894362,12470134,15636223,10279434,11587280,8926268,6146029,8364628,12778808,26650258,15776165,12892039,12145213,10069100,15587030,20599730,33280478
Kenya,3547927,8054124,4157535,3258042,3670021,3512585,6412976,6033329,1913915,4170090,3742993,5060400,6141035,5655552,4352683,10284682,3116980,4628792
Kiribati (Gilbert Isl),0,0,87953,7331,44495,83065,30379,0,9956,0,0,21332,33539,31919,66210,49116,13981,0
Korea,491793186,395148813,979093563,1007860549,905188373,793461244,718152373,419875427,311304500,497282654,818036898,727448630,848136251,929064784,557704924,581170164,645849525,638071053
Kosovo,89876,662662,24129,18801,54938,101193,271911,0,0,570143,572782,499433,151033,118396,2432405,617986,379466,102929
Kuwait,39761133,36532311,56771576,48948263,54304914,49709935,79327933,110611210,91436119,102337876,81100496,65555200,60087406,61820377,52322871,50561240,53345535,50213572
Kyrgyzstan,4183334,29100281,639502,2256566,897137,1247764,902673,93579,502583,4540336,1457748,2483466,10404043,1877948,1880178,1335644,2493268,12286174
Laos,62904,121611,140952,126199,75449,54975,43761,26572,59520,53516,42200,41771,89431,96113,61328,26236,87407,79918
Latvia,6378233,2238002,3541932,5858778,6872292,5586506,6463974,5457042,2192725,6008307,13364843,7578987,6377152,9089500,7972779,4028658,4457159,7138307
Lebanon,15207351,10984291,31922606,40619891,42689266,36677305,25530959,40969047,38915382,45327150,39267112,35013564,38744939,32964097,9716239,35599447,36797235,17352546
Lesotho,0,12671,3396,0,0,0,0,0,0,7809,0,2536,32020,6699,0,0,0,4320
Liberia,1355739,1803013,3516834,3764465,4113445,4610985,3877113,1942026,2248514,4514594,4617647,3316572,2868206,2969184,2840645,3771147,2878707,2102352
Libya,17828242,18351553,5100286,2887961,6822231,12629501,22025964,14162631,16121182,15927700,6744406,17521034,18073909,12255129,9612830,12593505,12823718,25476774
Liechtenstein,231310,138824,1071627,534108,760724,903601,899151,43519,63344,86575,104349,184061,518883,544490,801450,1224628,636217,279932
Lithuania,66753795,63333763,6390249,5936145,9800926,13021472,22622557,10718027,4849931,4730366,12708109,17648364,13878094,14416900,38603582,59343673,69175820,92093244
Luxembourg,11334129,10046365,14738290,12654527,9930039,13687122,10411146,55119793,2158184,3037394,4099039,3046086,4515846,7810337,8443909,8613633,11098384,12131247
Macao,661731,574118,843900,553620,1111242,529481,812298,479706,325469,329785,693594,719216,1213815,903034,260554,448765,363368,761368
Macedonia,13706580,8174144,6851302,14415057,17664377,20872417,10597558,124679,232230,261390,559297,103125,833290,1279727,9211720,3662056,7751587,15592884
Madagascar,441379,480446,513227,728698,1144762,905031,537885,619561,213372,1544910,142870,666708,1961764,341413,395149,279740,557328,458009
Malawi,226069,372907,132294,101539,166846,139464,18441,130433,205718,128396,462067,52709,84367,153502,413318,502877,173607,483044
Malaysia,145333293,107374937,52055554,51692404,112323979,130120507,116993968,30146990,22206734,26085971,29400141,30139485,42437742,58533009,94116882,119996360,191673939,187782396
Maldive Islands,2091705,4078298,670261,382452,539102,1102103,420850,277087,104961,283104,502244,842167,477762,497392,124465,426311,830355,2299676
Mali,6139912,427715,723424,1103393,761294,1295311,2019734,794942,444644,409521,1085465,1076836,1161407,385056,2864992,4025660,4229740,6486048
Malta and Gozo,1302103,850947,647406,422678,1087185,4878691,1940517,746258,547530,564754,580350,737626,759058,646368,903520,439732,566931,1613420
Marshall Islands,241969,241726,1409973,6378857,752118,851672,869575,128931,52409,415186,507910,215114,1754138,147076,322285,475854,323540,394217
Martinique,862232,436181,282060,279481,379334,1836239,2653592,699156,263108,457050,404405,510144,477256,706852,571057,494766,710202,1035113
Mauritania,5962905,3248490,2753499,2508412,1672348,3865631,5537216,2927426,6232584,3329250,3521312,8511017,9265250,9957373,4654536,6210708,3374346,7217694
Mauritius,139219,429366,266011,662731,981232,511336,889889,983152,189854,303646,664868,228897,367291,429835,177387,137385,180728,181449
Mayotte,138014,6533,342165,0,4155,52588,28372,0,8000,102762,102853,552378,479347,346626,2617,5563119,6139,138014
Mexico,28289403446,29688807846,30563675255,28853002029,30293476225,32762586770,33351165102,13971074278,12156777287,17515733063,21596577589,24577884819,27020301970,29697309738,25537022508,29079110745,33202728599,37022191232
Moldova,1370722,952181,16040,110555,56235,87436,56821,50424,47403,186467,222759,122727,503082,248991,1590452,2624002,1672579,1766571
Monaco,26910,50703,347468,116344,141710,108527,11055,73234,180567,223892,650505,1572737,1519029,1733482,86501,43449,98712,26910
Mongolia,9000070,10235945,6201391,2736542,9797253,7769016,19252144,1060697,1892715,2648467,5997232,18278545,9364842,3511557,15835664,11060378,5735781,18230441
Montenegro,2842628,826924,127020,161598,226214,375658,311473,322582,500284,167367,885821,336501,145622,88527,206966,402397,630103,2902440
Montserrat,226555,106041,196212,554813,259778,203167,194085,212580,181131,186939,192952,92283,308698,337493,106679,207500,276184,404438
Morocco,22718020,27311496,6430339,9062396,11390381,13545715,11537717,5069392,5611945,5264198,5308512,10209902,23448021,8954413,12761544,20073856,20968511,30440641
Mozambique,2239583,2448561,7348584,2593459,3411409,2877225,4236370,1554781,4205932,6490144,21826090,17399735,9199694,6145047,2871983,3350237,3207598,3103367
Namibia,1226998,678868,1816343,1168799,1057037,1556642,1659838,20111923,1395381,1930020,3870175,4056109,3578128,4682292,276735,1207343,454957,1474469
Nauru,0,0,12028,4350,0,218380,0,3024,0,0,0,53868,0,9980,10034,0,0,0
Nepal,214256,396653,64924,417168,103864,276051,195727,1142656,828224,750677,951445,380107,14435,766456,87857,172583,357303,491774
Netherlands,355902256,354482541,883936506,1217291957,1492418379,1681991811,1221606616,283565692,203849080,234692625,281889150,235519475,407035347,694469849,1035973664,380139125,424378390,474007695
Netherlands Antilles,0,0,0,0,0,0,0,12616235,14943919,9688377,3248696,0,0,0,0,0,0,0
New Caledonia,497426,292424,800146,586439,428635,669778,2164879,892299,1940859,1172348,670536,715204,827333,764688,2758717,939655,1127722,714677
New Zealand,45379228,50558347,56287533,54146743,57751526,62567461,58282996,44352757,21432362,30527180,35978225,40621552,44998331,50777913,50889282,57482094,64539575,55966911
Nicaragua,19273900,23006116,29712751,33946105,28561339,18785611,16751059,15075062,15434965,17257279,18096475,22821208,25223070,24373253,24813939,20735851,22432455,25017421
Niger,4928765,648289,442776,456818,1009598,1068524,1538478,771502,662016,925192,2190404,3103185,1242227,1311584,1685396,2423289,5120149,5514232
Nigeria,123581427,92296181,84301513,63097471,86699777,146609191,178965164,64494939,47960007,63459330,80142711,98197010,102893180,94083158,179082807,140273760,158622685,151661614
Niue,0,0,0,4478,0,874451,0,0,8772,0,0,0,0,3500,3723,0,0,0
Norfolk Island,0,0,0,0,0,0,0,3615,0,0,27000,0,51461,0,0,0,0,0
Norway,40694966,39226073,42381577,34340925,35785706,50374983,61505152,40830423,30782461,36415516,38615456,38826129,46660439,45915269,53966084,58470213,69285824,45670436
Oman,27113861,22735347,29891766,33552592,29786714,35884247,28354638,18035410,17656740,24058138,22979706,19741290,19211965,23905354,34397533,46299404,40983187,34433137
Pakistan,4309286,5277640,51643107,19063226,16697744,14814522,12618886,8159536,21829079,9332911,6813122,7612418,7124747,9077498,7947297,10303067,8724268,5572021
Palau,30644,123346,524955,61672,15150,118845,77602,50844,28682,94980,229739,92922,32903,66219,52837,14149,82083,36844
Panama,85786574,73411364,86170753,93084394,112191992,137864187,109434971,41768331,41458041,57206584,56436885,68093797,72506835,71019491,57023545,107933858,127571805,109358085
Papua New Guinea,5759331,2863054,558441,1175743,2723289,1958876,493241,265500,548954,1124652,1708352,3525304,1422715,1104157,403253,870531,2136976,5911535
Paraguay,10428778,20160445,15049596,149076134,363150347,317786352,205890762,34661444,18249967,21036749,25573376,18642758,19250068,18277681,147073770,25928694,40387494,13315141
Peru,178547277,255379633,227896722,176574196,190599792,255870008,227439394,116735811,101720182,124687440,166370098,219352995,233487915,250751775,181306543,228816170,234589259,250450102
Philippines,27901415,28061157,40901127,49804353,62563880,61227407,51361753,62575435,59408967,71948827,92865321,84795454,81791169,65231954,33202093,33224630,36797746,43028840
Pitcairn Island,0,0,0,0,0,0,0,0,0,0,0,0,0,33317,0,0,0,0
Poland,399645389,537820693,208144114,254082426,216610152,207882527,251238270,89441711,56425746,71475628,134374436,129333728,142392259,166719366,281647518,350589556,454044812,580333633
Portugal,8825100,20005382,14811202,14212797,15322626,24040431,21511945,29410328,16370575,18290430,23078539,14648178,13010909,11994467,11029339,11385517,14954869,12282541
Qatar,19143098,20196969,29006267,23848588,27138188,40794518,48471631,22087368,13022827,12289340,16768628,17286897,19533304,25606601,30581356,25217541,42171849,26752031
Republic of South Africa,699600724,607974580,426365605,350103921,435020549,669255366,713160443,260093103,186112134,260004630,354297432,363359493,326654470,366223215,579335659,719695200,699157679,884840973
Reunion,140712,39777,81718,55799,57210,1784619,462746,66801,8484,4073,2839,157718,63450,13474,29997,32430,47778,171124
Romania,38363577,30475316,39908432,28449267,30906984,36052315,35345979,7827317,7792057,8601406,12150778,15104181,48991465,76605584,35439157,40075846,61044165,53049532
Russia,3857731,131185,387379262,370823660,455808510,426559099,458945462,244877251,53828056,95500674,263866340,296450329,499132773,550860451,469713939,711096757,85450251,4023887
Rwanda,306971,2459711,35937,199988,191756,319619,125435,12464,55141,53424,238084,215824,99677,52359,203254,90871,99856,396785
San Marino,0,5697,42840,150901,280005,148549,0,21630,0,0,29188,11178,2625,37752,5940,0,0,0
Sao Tome and Principe,18000,0,327080,0,253185,0,187038,19022,0,0,0,11500,4484,17972,0,293618,534165,18000
Saudi Arabia,181575772,205384572,356535052,321605115,242928779,214759592,213157286,276244813,275095521,274064896,294378967,289446056,318293065,337292405,182033187,195993684,179205922,263721440
Senegal,9497691,6846670,2347397,2202056,4249605,7530094,10195215,1702681,2348917,2400049,5622319,4025931,4211576,2511834,13609945,12929881,10737560,12019725
Serbia,4679598,3893711,3564187,2680870,1913848,1319111,1806826,1750181,708733,1231717,1345343,1502236,2277231,2086068,1714345,2514488,3857325,5741145
Seychelles,196967,236874,206697,271694,265016,840748,703893,79717,38685,28801,334077,187508,273729,260873,2298741,142172,309763,251292
Sierra Leone,615363,915891,1569054,1846229,3253896,4893336,3672164,1520284,858565,1727524,4229952,2362548,1939283,1697838,1740502,1556090,1050627,1098649
Singapore,335941639,410512350,315126587,295956400,351984525,377015084,367196103,373410953,266755526,367587022,453597774,460383861,411067066,379666593,311582899,303206161,448612242,445240602
Sint Maarten,3513729,7062630,5649823,4988143,6849025,8016789,5539479,0,0,0,2059310,3261239,4266463,4480255,4159570,4201607,4024889,4588492
Slovakia,19804170,20819050,33428182,34910046,33933214,21753633,21927554,14110289,8550555,10647224,17819429,18972173,17985236,23373454,17937504,20212833,21896736,27152120
Slovenia,1884884,9496753,4116728,3055306,1820494,1977046,5843178,2773994,2442097,3278948,2763250,1899147,2438945,1961082,2103133,9129347,3323428,2651997
Solomon Islands,28464,22355,50105,28639,2761,445926,5282808,21530,9124,3800,0,13212,22041,122828,52699,0,3413,31449
Somalia,1496104,800270,679490,710648,1524427,421171,2678617,3548,9947,4018,0,0,0,213422,748927,234950,1013780,1665204
South Sudan,14429,14085,19096,41690,7919,27223,97238,0,0,0,8160,351334,175756,69961,59986,107141,152870,49689
Spain,611632008,366553333,432215756,405918606,388715005,503597784,643684034,214625427,114167097,151720901,157657438,178061239,257201767,305227544,987679314,718849670,732024540,772432702
Sri Lanka (Ceylon),760009,2306863,1472676,2643229,1004228,2332787,1367688,512864,570078,759897,1333072,1369760,2042100,1987367,887195,1550616,1526403,1048180
St Christopher-Nevis,2204252,1363989,1831779,2332327,2537221,2122074,2107242,1959285,1768140,1656352,976935,846592,1848152,2335432,1249310,1620669,1596145,2655662
