Table 1.1 Primary Energy Overview,,,,,,,,,,,,
,,,,,,,,,,,,
Month,Total Fossil Fuels Production,Nuclear Electric Power Production,Total Renewable Energy Production,Total Primary Energy Production,Primary Energy Imports,Primary Energy Exports,Primary Energy Net Imports,Primary Energy Stock Change and Other,Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
2020 June,5.946635,0.702024,0.63705,7.285709,1.704521,1.658983,0.045539,-0.447847,5.531893,0.702024,0.636165,6.8834
2020 July,6.30832,0.7248,0.632878,7.665998,1.69169,1.874128,-0.182439,0.22891,6.345536,0.7248,0.623616,7.71247
2020 August,6.319605,0.720588,0.618503,7.658697,1.612727,1.877792,-0.265065,0.291486,6.337491,0.720588,0.606968,7.685118
2020 September,6.181692,0.686588,0.583472,7.451752,1.544957,1.852767,-0.307809,-0.13557,5.736059,0.686588,0.572965,7.008373
2020 October,6.220192,0.6201,0.611896,7.452189,1.578486,1.975293,-0.396807,0.102413,5.932484,0.6201,0.591957,7.157795
2020 November,6.25101,0.645145,0.629909,7.526064,1.596209,1.956907,-0.360697,0.073963,5.970901,0.645145,0.611638,7.23933
2020 December,6.425653,0.729872,0.640842,7.796367,1.719896,2.194463,-0.474567,1.056672,7.009344,0.729872,0.624507,8.378472
2021 January,6.49966,0.748098,0.636532,7.884291,1.771525,2.082925,-0.311399,1.005621,7.210077,0.748098,0.606194,8.578512
2021 February,5.3218,0.656549,0.552157,6.530507,1.565742,1.666903,-0.101161,1.396497,6.613514,0.656549,0.545792,7.825842
2021 March,6.60629,0.664413,0.677204,7.947907,1.788106,2.067107,-0.279001,0.032874,6.358639,0.664413,0.665673,7.701781
2021 April,6.367462,0.595413,0.650405,7.61328,1.702768,2.10447,-0.401702,-0.087914,5.876166,0.595413,0.640743,7.123664
2021 May,6.629665,0.661137,0.68867,7.979472,1.799127,2.131187,-0.33206,-0.338114,5.954598,0.661137,0.680956,7.309298
2021 June,6.43743,0.689048,0.65602,7.782498,1.890417,2.204428,-0.314011,0.199754,6.320079,0.689048,0.643958,7.668241
2021 July,6.645813,0.717845,0.650413,8.014071,1.877723,2.085376,-0.207653,0.263036,6.698793,0.717845,0.637755,8.069453
2021 August,6.678144,0.724517,0.648043,8.050703,1.845777,2.183267,-0.33749,0.448918,6.784358,0.724517,0.641753,8.162131
2021 September,6.445035,0.672879,0.619939,7.737854,1.829001,1.924995,-0.095993,-0.267295,6.082624,0.672879,0.60971,7.374565
2021 October,6.795551,0.609065,0.649287,8.053904,1.751844,2.062901,-0.311057,-0.32503,6.158663,0.609065,0.64036,7.417817
2021 November,6.685325,0.654413,0.662792,8.00253,1.774257,2.171553,-0.397296,0.167884,6.472315,0.654413,0.642426,7.773118
2021 December,6.874919,0.737537,0.705767,8.318224,1.8591,2.386337,-0.527237,0.557425,6.923779,0.737537,0.678862,8.348412
2022 January,6.695953,0.737387,0.696686,8.130026,1.840996,2.170278,-0.329282,1.234952,7.622756,0.737387,0.665325,9.035696
2022 February,6.134936,0.646232,0.651094,7.432262,1.686566,2.016371,-0.329805,0.895602,6.718636,0.646232,0.626979,7.998059
2022 March,6.932706,0.65983,0.732321,8.324856,1.848002,2.305311,-0.45731,0.179751,6.666424,0.65983,0.714233,8.047298
2022 April,6.654418,0.577665,0.711645,7.943728,1.747477,2.302727,-0.555251,-0.150951,5.952266,0.577665,0.699078,7.237526
2022 May,6.90531,0.662211,0.742103,8.309624,1.795012,2.33504,-0.540028,-0.341588,6.032301,0.662211,0.724056,7.428008
2022 June,6.739071,0.686595,0.724756,8.150422,1.80534,2.296877,-0.491537,-0.020826,6.227109,0.686595,0.709396,7.638059
2022 July,7.003791,0.719417,0.712392,8.4356,1.912767,2.293679,-0.380912,0.049561,6.675256,0.719417,0.690932,8.104249
2022 August,7.119913,0.719835,0.671642,8.51139,1.825898,2.330866,-0.504968,0.106068,6.708842,0.719835,0.663638,8.112491
2022 September,6.995496,0.665884,0.631913,8.293294,1.70473,2.26574,-0.56101,-0.344674,6.091475,0.665884,0.617157,7.38761
2022 October,7.183379,0.615861,0.658345,8.457586,1.771362,2.294317,-0.522955,-0.553425,6.109814,0.615861,0.645676,7.381205
2022 November,6.94104,0.648207,0.684997,8.274244,1.766973,2.315739,-0.548765,0.076656,6.480746,0.648207,0.664219,7.802134
2022 December,6.919036,0.721896,0.679561,8.320492,1.801606,2.408103,-0.606497,0.925583,7.243687,0.721896,0.660276,8.639578
2023 January,7.20699,0.740734,0.696038,8.643762,1.853384,2.276203,-0.422818,0.250702,7.042552,0.740734,0.677097,8.471645
2023 February,6.500422,0.635553,0.659518,7.795493,1.745645,2.209874,-0.464229,0.268906,6.315086,0.635553,0.642842,7.600171
2023 March,7.335318,0.656599,0.735318,8.727235,1.78899,2.653496,-0.864506,0.275621,6.753077,0.656599,0.719879,8.13835
2023 April,6.989393,0.592236,0.708522,8.290152,1.754215,2.369596,-0.615382,-0.505376,5.875138,0.592236,0.695492,7.169393
2023 May,7.261051,0.639194,0.74089,8.641135,1.81039,2.460032,-0.649641,-0.659534,5.947659,0.639194,0.736151,7.331959
2023 June,7.045924,0.67749,0.698192,8.421606,1.825118,2.38713,-0.562012,-0.350009,6.138458,0.67749,0.687872,7.509585
2023 July,7.269071,0.730465,0.715729,8.715265,1.803616,2.482473,-0.678857,0.040553,6.644579,0.730465,0.69764,8.076962
2023 August,7.406537,0.728965,0.713484,8.848986,1.915016,2.564402,-0.649386,0.019304,6.78056,0.728965,0.704621,8.218904
2023 September,7.200506,0.68523,0.672812,8.558549,1.785113,2.439005,-0.653892,-0.47611,6.087285,0.68523,0.655669,7.428546
2023 October,7.382572,0.642125,0.693952,8.718649,1.704523,2.540441,-0.835919,-0.33969,6.215547,0.642125,0.684669,7.54304
2023 November,7.24199,0.650717,0.682056,8.574763,1.818131,2.461941,-0.64381,-0.090767,6.525209,0.650717,0.662076,7.840186
2023 December,7.405313,0.719666,0.720952,8.845931,1.853243,2.800726,-0.947483,0.464036,6.945853,0.719666,0.692398,8.362485
