,Food Group,Metric,Year,Total Imports Volume,Population,Total Imports Volume Per Capita
60,Vegetables,"1,000 metric tons",2019,11743.6,337790067,0.034765971966842946
61,Fruits,"1,000 metric tons",2019,13900.7,337790067,0.041151890946515016
62,Nuts,"1,000 metric tons",2019,534.3,337790067,0.001581751662342398
63,"Coffee, tea, and spices","1,000 metric tons",2019,2371.9,337790067,0.007021816896705847
64,Grains,"1,000 metric tons",2019,11076.5,337790067,0.032791076713336274
65,Vegetable oils,"1,000 metric tons",2019,6149.8,337790067,0.01820598235649126
66,Sugar and candy,"1,000 metric tons",2019,4271.9,337790067,0.012646612252218772
67,Cocoa and chocolate,"1,000 metric tons",2019,1393.9,337790067,0.004126527497920772
68,Other edible products,"1,000 metric tons",2019,2406.1,337790067,0.007123063213105079
69,Beverages,"1,000 litpf",2019,8487.3,337790067,0.02512596085307624
70,Live meat animals,"1,000 head",2018,7124.5,335056497,0.021263578124258848
71,Meats,"1,000 metric tons",2018,1821.2,335056497,0.005435501225335141
72,Fish and shellfish,"1,000 metric tons",2018,2718.8,335056497,0.008114452411289908
73,Dairy,"1,000 metric tons",2018,364.0,335056497,0.001086383947958484
74,Vegetables,"1,000 metric tons",2018,11645.6,335056497,0.03475712336358605
75,Fruits,"1,000 metric tons",2018,14065.3,335056497,0.041978890503352934
76,Nuts,"1,000 metric tons",2018,553.8,335056497,0.0016528555779654081
77,"Coffee, tea, and spices","1,000 metric tons",2018,2236.8,335056497,0.006675889051630597
78,Grains,"1,000 metric tons",2018,11810.7,335056497,0.03524987608283865
79,Vegetable oils,"1,000 metric tons",2018,6281.9,335056497,0.01874877835901209
80,Sugar and candy,"1,000 metric tons",2018,4147.3,335056497,0.012377912492769838
81,Cocoa and chocolate,"1,000 metric tons",2018,1372.8,335056497,0.004097219460871998
82,Other edible products,"1,000 metric tons",2018,2385.8,335056497,0.007120590173185032
83,Beverages,"1,000 litpf",2018,8241.1,335056497,0.024596150421760065
