"MCIW: VALUE OF RETAIL SALES BY COMMODITY AT CURRENT PRICES, NON-SEASONALLY ADJUSTED - Average Weekly Retail Sales in £thousands, Great Britain",,,,,,,,
This worksheet contains one table,,,,,,,,
Source: Retails Sales Index,,,,,,,,
Estimates in this table have been produced by combining a breakdown of commodity sales from 54 large retailers with total sales from other retailers.,,,,,,,,
Number of Weeks [Note 2],Time Period,Total excluding fuel,"Food, drink and tobacco         ",Clothing and footwear,Household goods         ,Other non-food         ,Total Average Weekly Sales for All Retailing excluding automotive fuel,
4,2021AUG,"7,805,717","3,128,036","1,327,723","1,429,515","1,920,443",,
5,2021SEP,"7,748,019","3,103,801","1,321,530","1,410,909","1,911,778",,
4,2021OCT,"8,337,133","3,223,692","1,421,428","1,558,717","2,133,297",,
4,2021NOV,"9,460,445","3,382,729","1,657,950","1,915,791","2,503,975",TOTAL SALES IN 2021 £000s,
5,2021DEC,"10,046,662","3,764,220","1,769,450","1,770,320","2,742,672","96,952,701",
4,2022JAN,"7,536,961","2,937,258","1,208,939","1,520,042","1,870,723",,
4,2022FEB,"7,630,263","3,089,629","1,253,707","1,414,256","1,872,671",,
5,2022MAR,"7,957,871","3,162,979","1,277,285","1,450,357","2,067,251",,
4,2022APR,"8,226,140","3,282,712","1,486,873","1,468,255","1,988,300",,
4,2022MAY,"8,254,111","3,336,617","1,519,279","1,373,185","2,025,030",,
5,2022JUN,"8,268,956","3,418,980","1,512,060","1,330,297","2,007,620",,
4,2022JUL,"8,467,827","3,497,905","1,504,136","1,406,632","2,059,154",,
4,2022AUG,"8,065,836","3,412,311","1,402,721","1,333,344","1,917,461",,
5,2022SEP,"7,990,158","3,308,071","1,402,165","1,381,327","1,898,595",,
4,2022OCT,"8,627,323","3,441,899","1,504,698","1,496,773","2,183,953",,
4,2022NOV,"9,699,115","3,643,600","1,734,825","1,865,005","2,455,684",TOTAL SALES IN 2022 £000s,
5,2022DEC,"10,491,877","4,062,762","2,000,048","1,699,272","2,729,794","101,216,437",
4,2023JAN,"7,765,983","3,284,608","1,281,042","1,420,660","1,779,672",,
4,2023FEB,"8,081,055","3,549,483","1,266,159","1,357,653","1,907,759",,
5,2023MAR,"8,363,321","3,637,844","1,362,509","1,388,682","1,974,285",,
4,2023APR,"8,708,325","3,736,912","1,508,579","1,435,102","2,027,732",,
4,2023MAY,"8,870,776","3,798,016","1,586,865","1,408,356","2,077,539",,
5,2023JUN,"8,830,615","3,788,775","1,605,607","1,379,228","2,057,006",,
4,2023JUL,"8,839,986","3,734,606","1,519,501","1,451,589","2,134,291",,
4,2023AUG,"8,579,299","3,695,405","1,457,691","1,429,539","1,996,664",,
5,2023SEP,"8,417,879","3,647,443","1,406,458","1,418,366","1,945,613",,
4,2023OCT,"8,974,545","3,752,043","1,512,147","1,540,471","2,169,884",,
4,2023NOV,"10,248,985","3,937,696","1,771,777","1,921,839","2,617,672",TOTAL SALES IN 2023 £000s,
5,2023DEC,"10,620,457","4,237,333","1,893,254","1,691,680","2,798,190","106,301,226",
