2022,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
2023,97.1,97.2,97.1,96.5,109.9,85.3,97.3,100.2,100.8,78.9,99.6,114.9,95.0,96.4,91.1,94.2,113.5,94.2,83.5,87.8,109.8,100.8,92.9,97.2,91.0,88.6,94.3,94.3,90.1,97.1,97.2,95.5,96.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage increase on a year earlier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,"All Retailing, Including Automotive Fuel","All Retailing, Excluding Automotive Fuel",Predominantly Food Stores,Non-specialised Food Stores,Specialist Food Stores,"Alcoholic Drinks, Other Beverages and Tobacco",Predominantly Non-food Stores,Non-Specialised Predominantly Non-Food Stores,"Textile, Clothing, Footwear and Leather",Textiles,Clothing,Footwear and Leather Goods,Household Goods Stores,"Furniture, Lighting etc",Electrical Household Appliances,"Hardware, Paints and Glass",Music and video recordings and equipment,Other Specialised Non-food Stores,Dispensing Chemists,Medical Goods,Cosmetic & Toilet Articles,Computers & Telecomms Equipment,Floor Coverings,"Books, Newspapers & Periodicals","Sports Equipment, Games & Toys","Flowers, plants, seeds, fertilisers and pet foods",Watches & Jewellery,Other Retail Sale of New Goods in Specialised Stores,Second-hand Goods,Non-store Retail,Mail Order,Other Non-store Retail,Automotive Fuel,,,,
AGG/SIC,AGG21,AGG21X,AGG1,47.11,AGG26,AGG27,AGG12,47.19,AGG5,47.51,47.71,47.72,AGG7,47.59,47.54,47.52,AGG31,AGG13,47.73,47.74,47.75,AGG32,47.53,AGG35,AGG33,47.76,47.77,47.78,47.79,AGG14,47.91,Agg 11,47.3,,,,
Dataset identifier code,J5EB,J45U,IDOB,JO4B,JO4W,JO4X,IDOC,IDOA,IDOG,JO4E,JO4K,JO4L,IDOH,JO4I,JO4H,JO4F,JO52,IDOD,JO4M,JO4N,JO4O,JO53,JO4G,JO56,JO54,JO4P,JO4Q,JO4R,JO4S,J5DK,JO4T,JO4U,JO4C,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2.2,2.2,1.1,0.9,9.1,-9.4,1.8,1.4,-0.3,-0.4,0.3,-6.0,4.2,4.2,1.3,6.6,-4.1,2.6,0.4,21.3,15.8,-2.4,0.4,-0.5,4.3,4.5,4.8,-2.9,2.4,8.5,9.1,0.1,1.7,,,,
2019,3.2,2.8,1.2,0.7,6.6,12.9,1.4,-1.8,2.8,-2.0,2.3,9.0,-2.8,-1.0,5.0,-9.8,5.2,5.0,3.5,15.3,9.9,4.4,-16.1,-8.9,13.4,-0.7,6.0,1.7,18.4,14.6,15.1,7.2,6.1,,,,
2020,-1.4,1.0,4.7,5.7,-10.3,0.5,-11.7,-5.2,-24.9,-8.3,-25.0,-26.3,-0.6,-13.9,2.8,15.8,-12.6,-10.8,40.3,-3.0,-16.6,-32.0,-13.4,-11.4,-5.2,5.9,-24.5,-7.9,-17.1,34.2,35.5,10.2,-22.1,,,,
2021,4.7,3.9,0.3,-0.7,7.6,33.7,8.8,-0.1,12.3,9.9,12.5,10.7,7.2,6.8,4.1,9.1,7.9,13.2,-1.0,39.0,5.9,12.5,37.9,-11.7,18.8,16.9,28.5,2.7,23.5,2.0,1.7,9.4,14.3,,,,
2022,-4.1,-4.6,-6.2,-6.5,9.8,-26.0,1.5,-3.2,14.3,13.5,13.0,26.0,-10.9,1.4,-10.3,-21.9,-27.6,2.9,-20.4,-0.3,11.3,22.5,26.9,8.3,-0.1,-5.9,2.8,0.6,3.7,-15.9,-15.7,-20.4,1.7,,,,
2023,-2.9,-2.8,-2.9,-3.5,9.9,-14.7,-2.7,0.2,0.8,-21.1,-0.4,14.9,-5.0,-3.6,-8.9,-5.8,13.5,-5.8,-16.5,-12.2,9.8,0.8,-7.1,-2.8,-9.0,-11.4,-5.7,-5.7,-9.9,-2.9,-2.8,-4.5,-3.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
