ISCPSA2 - INTERNET SALES INDEX: VALUE SEASONALLY ADJUSTED PERCENTAGE CHANGE ON PREVIOUS MONTH,,,,,,,,
This worksheet contains one table.,,,,,,,,
Source: Retails Sales Index,,,,,,,,
Time Period,All retailing excluding automotive fuel [Note 1],Predominantly food stores,Total of predominantly non-food stores [Note 2],Non-specialised stores [Note 2],"Textile, clothing and footwear stores [Note 2]",Household goods stores [Note 2],Other stores [Note 2],Non-store retailing
2019 Oct,0.4,-3.5,3.3,5.1,-1.7,6.4,6.8,-0.5
2019 Nov,-3.5,-2.5,-9.3,-16.0,-3.5,-21.2,-0.9,0.2
2019 Dec,5.7,1.9,16.0,28.3,0.8,32.1,16.8,0.3
2020 Jan,-0.9,-0.7,-6.3,-6.0,3.2,-21.3,-5.9,2.7
2020 Feb,0.8,0.6,5.4,2.7,9.0,3.3,4.0,-2.1
2020 Mar,10.3,15.6,13.8,48.7,-12.8,38.8,5.8,6.6
2020 Apr,17.7,60.4,16.6,12.5,-11.6,41.4,32.7,8.2
2020 May,20.4,21.1,16.4,-0.1,20.6,14.7,31.3,23.4
2020 Jun,7.6,-1.3,17.4,29.7,42.2,1.1,3.7,3.5
2020 Jul,-5.5,-5.1,-9.6,-20.3,-9.0,-16.3,5.4,-2.3
2020 Aug,-1.4,-1.4,-1.0,2.0,3.5,3.9,-10.1,-1.9
2020 Sep,-1.8,-2.4,-2.6,2.7,-2.5,-6.4,-4.0,-1.0
2020 Oct,6.0,1.4,6.5,3.1,5.7,14.1,4.8,7.1
2020 Nov,4.5,1.4,11.9,6.4,8.9,15.1,16.9,-0.4
2020 Dec,-8.0,-5.2,-11.5,-2.2,-2.4,-32.2,-11.0,-5.8
2021 Jan,13.2,23.8,10.0,-10.0,-2.9,46.5,18.8,12.5
2021 Feb,5.2,-2.2,12.3,17.1,17.8,18.1,0.4,1.9
2021 Mar,-1.4,-3.4,-0.9,0.5,-0.6,-3.3,-0.3,-1.2
2021 Apr,-7.2,-7.9,-11.9,-23.5,-7.1,-10.9,-8.8,-2.7
2021 May,-5.4,-3.2,-9.1,-1.9,-9.9,-7.2,-14.3,-3.1
2021 Jun,-0.4,2.3,-3.6,-10.3,6.1,-6.8,-6.0,1.2
2021 Jul,-1.6,-0.6,-0.4,10.7,-1.6,-5.7,-2.1,-2.7
2021 Aug,1.9,-1.5,0.4,-6.7,1.8,-1.9,6.2,4.2
2021 Sep,0.3,-0.7,-1.6,0.4,-2.4,-3.1,-0.9,2.0
2021 Oct,-0.3,-2.5,2.7,1.5,3.7,2.5,2.4,-1.8
2021 Nov,-2.6,-4.2,-5.2,-6.4,-2.9,-8.1,-4.9,-0.3
2021 Dec,0.3,0.1,0.5,-1.1,0.1,0.8,1.9,0.3
2022 Jan,1.4,-1.2,1.3,1.9,-2.5,-3.9,9.2,2.1
2022 Feb,-2.2,-1.8,0.4,0.2,2.8,-0.5,-1.2,-4.1
2022 Mar,-5.4,0.0,-2.1,1.4,-3.1,4.1,-7.1,-9.3
2022 Apr,4.0,0.0,0.9,-2.5,3.2,6.0,-3.2,7.5
2022 May,-3.4,-2.7,-1.7,-3.2,-3.8,-0.5,0.8,-4.9
2022 Jun,-0.3,1.9,0.6,1.7,2.3,-1.7,-0.4,-1.5
2022 Jul,0.4,1.1,0.9,2.3,1.4,2.0,-1.4,-0.3
2022 Aug,-0.6,-1.2,-0.4,1.8,-3.1,-6.3,6.0,-0.5
2022 Sep,0.9,-0.2,0.2,2.3,2.1,-3.4,-0.6,1.8
2022 Oct,0.8,5.3,-0.1,-0.7,-2.1,0.2,2.3,0.2
2022 Nov,-1.4,1.0,-1.7,-0.7,1.0,2.1,-7.9,-1.9
2022 Dec,-1.9,0.0,1.6,0.3,0.5,15.3,-6.3,-5.1
2023 Jan,3.0,-2.6,1.3,-1.8,10.4,-9.9,2.7,6.3
2023 Feb,2.0,1.3,0.9,-0.5,-2.1,4.1,3.6,3.1
2023 Mar,1.1,-0.7,2.1,0.9,2.0,5.2,0.5,1.0
2023 Apr,2.4,5.5,1.8,-1.5,3.2,2.3,2.0,2.0
2023 May,0.2,0.8,2.3,0.2,5.0,1.8,0.5,-1.5
2023 Jun,0.6,-0.8,1.0,1.7,-0.7,3.2,1.2,0.7
2023 Jul,1.9,0.4,0.0,-7.3,0.0,-0.8,5.9,3.9
2023 Aug,-0.3,2.4,-0.6,5.8,-1.6,1.3,-4.8,-0.8
2023 Sep,-1.2,1.2,-1.6,1.4,-4.1,-1.6,-0.4,-1.6
2023 Oct,-0.2,-1.5,0.0,1.5,1.1,-2.0,-0.5,0.1
2023 Nov,1.5,1.1,2.7,1.4,-0.7,-1.5,11.5,0.7
2023 Dec,-2.3,-3.0,-3.6,-3.9,-2.3,-0.2,-7.6,-1.0
2024 Jan,-2.2,-1.3,-2.0,0.2,-2.1,-7.2,1.0,-2.6
2024 Feb,1.4,0.2,0.0,2.0,-1.7,-4.2,3.7,2.9
2024 Mar,0.6,0.7,1.5,-3.1,3.9,-0.1,3.0,-0.2
2024 Apr,-0.4,-1.4,2.0,5.3,-0.5,-2.1,5.5,-1.8
2024 May,6.4,3.8,5.7,5.0,7.7,2.4,6.1,7.8
2024 Jun,-1.7,-2.8,-1.6,-9.9,-5.7,0.4,6.6,-1.5
2024 Jul,2.7,1.2,1.9,10.8,0.5,-1.4,0.7,3.7
