U.S. imports of cocoa and chocolate,,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
,,,,2023,2022,2021,2020,2019,2018
,30,World (quantity),"1,000 metric tons",772.1,805.7,766.5,667.2,687.5,635.9
,,,,,,,,,
Confections 4/,31,Mexico,Million dollars,"1,175.9","1,048.1",851.8,691.3,683.0,634.1
,32,Canada,Million dollars,615.1,556.5,465.5,423.9,450.7,496.5
,33,Germany,Million dollars,263.9,253.4,204.3,164.0,140.5,130.6
,34,Turkey,Million dollars,210.4,165.8,128.7,98.1,95.7,81.3
,35,Spain,Million dollars,145.3,136.8,119.4,114.3,98.6,83.9
,36,China ,Million dollars,133.8,127.1,97.9,77.2,109.5,145.4
,37,Switzerland,Million dollars,76.6,54.7,21.4,48.4,35.4,41.4
,38,Thailand,Million dollars,65.2,60.9,50.7,39.3,37.7,36.2
,39,Rest of world,Million dollars,456.0,432.3,360.1,280.4,291.9,256.1
,40,World,Million dollars,"3,142.2","2,835.6","2,299.8","1,936.9","1,943.0","1,905.5"
,41,World (quantity),"1,000 metric tons",867.4,898.8,797.6,701.1,701.3,680.2
,,,,,,,,,
"U.S. imports of sauces, essence oils, and other edibles",,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
,,,,2023,2022,2021,2020,2019,2018
"Sauces, soups, prepared foods 1/2/",1,Singapore,Million dollars,"3,047.3","4,069.3","3,461.3","3,205.2","2,973.4","2,610.2"
,2,Canada,Million dollars,"1,831.3","1,846.8","1,664.8","1,419.7","1,306.4","1,265.2"
,3,Italy,Million dollars,782.0,665.5,600.0,459.7,375.1,364.0
,4,Mexico,Million dollars,750.4,690.5,516.6,437.8,379.3,344.3
,5,China ,Million dollars,537.9,611.6,508.8,470.7,391.7,374.9
,6,Thailand,Million dollars,307.8,347.4,310.8,328.2,292.5,276.6
,7,Germany,Million dollars,218.8,216.5,204.4,186.7,160.0,148.0
,8,South Korea,Million dollars,214.1,222.0,196.6,172.9,122.0,105.0
,9,Rest of world,Million dollars,"2,444.5","2,550.5","2,314.1","1,920.5","1,592.5","1,500.2"
,10,World,Million dollars,"10,134.1","11,220.1","9,777.4","8,601.4","7,592.9","6,988.4"
,11,World (quantity),"1,000 metric tons","2,101.1","2,203.2","1,969.3","1,733.4","1,503.1","1,441.9"
,,,,,,,,,
Essential oils 3/,12,Ireland,Million dollars,"3,508.7","3,859.9","3,023.8","2,851.3","2,832.6","2,768.8"
,13,Brazil,Million dollars,201.9,149.4,92.7,108.7,110.6,131.8
,14,Mexico,Million dollars,199.8,148.4,87.4,64.4,72.3,91.0
,15,India,Million dollars,179.9,228.9,229.9,203.9,185.2,194.6
,16,France,Million dollars,107.0,125.6,175.3,169.5,161.6,187.1
,17,Canada,Million dollars,98.9,107.6,102.6,87.9,74.2,88.1
,18,Italy,Million dollars,77.9,50.0,42.0,34.8,39.0,42.8
,19,China ,Million dollars,63.0,109.8,108.4,104.3,83.6,128.1
,20,Rest of world,Million dollars,480.7,616.6,580.7,498.9,541.7,669.8
,21,World,Million dollars,"4,917.8","5,396.2","4,442.8","4,123.7","4,100.8","4,302.1"
,22,World (quantity),"1,000 metric tons",145.1,158.4,133.3,133.5,118.3,116.2
,,,,,,,,,
Animal and other fats 4/,23,Canada,Million dollars,582.6,709.2,479.5,296.4,259.6,251.1
,24,Australia,Million dollars,312.9,236.8,105.6,22.6,19.1,4.6
,25,Brazil,Million dollars,246.3,86.5,14.5,0.3,0.2,0.1
,26,Mexico,Million dollars,107.3,82.1,45.5,42.9,42.4,32.4
,27,Vietnam,Million dollars,103.1,0.1,0.1,0.0,0.0,0.0
,28,Uruguay,Million dollars,93.0,76.7,8.8,0.0,0.6,0.1
,29,Argentina,Million dollars,87.6,26.9,2.0,2.4,1.1,0.8
,30,Norway,Million dollars,87.3,106.5,88.9,72.8,68.9,57.7
,31,Rest of world,Million dollars,393.6,490.9,320.8,266.8,217.5,245.5
,32,World,Million dollars,"2,013.7","1,815.7","1,065.7",704.2,609.4,592.3
,33,World (quantity),"1,000 metric tons","1,149.8",825.2,567.3,460.4,407.0,373.2
,,,,,,,,,
Other edible products 5/6/,34,India,Million dollars,442.9,535.6,480.5,436.1,497.4,592.9
,35,China ,Million dollars,396.2,472.0,426.6,398.5,361.6,384.2
,36,Canada,Million dollars,217.1,174.1,139.6,121.0,119.9,108.8
,37,Mexico,Million dollars,185.5,162.3,150.8,152.0,140.2,141.0
,38,France,Million dollars,179.5,193.3,189.1,167.0,162.4,168.3
,39,Spain,Million dollars,115.4,220.4,177.4,111.9,114.5,99.9
,40,Italy,Million dollars,100.4,174.0,115.0,80.2,71.5,62.3
,41,Germany,Million dollars,86.9,106.3,147.8,130.9,121.4,126.5
,42,Rest of world,Million dollars,602.3,719.0,602.6,517.5,503.5,511.5
,43,World,Million dollars,"2,326.2","2,757.0","2,429.4","2,115.1","2,092.4","2,195.4"
,44,World (quantity),"1,000 metric tons",336.2,396.0,365.6,325.1,377.7,454.5
,,,,,,,,,
U.S. imports of dairy products,,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
,,,,2023,2022,2021,2020,2019,2018
Total dairy products 1/,1,Italy,Million dollars,473.4,449.7,423.6,294.0,375.4,327.1
,2,Ireland,Million dollars,436.7,399.6,345.0,252.9,260.1,224.1
,3,New Zealand,Million dollars,402.8,332.7,279.5,263.4,243.7,249.9
,4,France,Million dollars,274.1,250.1,216.9,184.4,202.3,216.6
,5,Canada,Million dollars,201.4,177.9,160.5,166.8,139.0,118.1
,6,Mexico,Million dollars,192.3,167.9,117.5,145.8,130.7,110.4
,7,Netherlands,Million dollars,155.2,137.0,124.0,116.3,103.5,95.5
,8,Spain,Million dollars,145.9,111.4,99.2,88.8,98.9,108.0
,9,Rest of world,Million dollars,759.6,679.8,620.0,553.2,574.6,561.0
,10,World,Million dollars,"3,041.4","2,706.1","2,386.2","2,065.6","2,128.2","2,010.7"
,11,World (quantity),"1,000 metric tons",416.8,401.1,370.8,368.4,384.2,364.0
,,,,,,,,,
"Cheese, fresh or processed",12,Italy,Million dollars,469.5,446.1,420.5,291.2,372.6,324.4
,13,France,Million dollars,202.8,193.4,176.3,156.4,173.8,190.9
,14,Spain,Million dollars,145.4,111.3,99.2,88.6,98.9,107.9
,15,Netherlands,Million dollars,130.1,116.0,109.0,94.3,90.3,87.0
,16,Switzerland,Million dollars,118.4,117.1,118.1,100.3,89.2,92.3
,17,Ireland,Million dollars,88.3,58.7,69.7,39.9,45.9,41.9
,18,United Kingdom,Million dollars,75.5,68.6,55.5,39.6,59.3,60.5
,19,Rest of world,Million dollars,525.8,454.9,433.0,383.6,378.0,374.1
,20,World,Million dollars,"1,755.8","1,566.1","1,481.3","1,193.9","1,308.0","1,279.0"
,21,World (quantity),"1,000 metric tons",192.5,188.4,187.8,166.0,179.8,176.2
,,,,,,,,,
"Yogurt, buttermilk, or whey",22,New Zealand,Million dollars,291.5,263.4,240.4,228.8,204.8,204.7
,23,Canada,Million dollars,113.2,99.6,80.9,82.8,85.7,69.8
,24,France,Million dollars,46.0,34.5,22.5,15.0,14.1,10.6
,25,Denmark,Million dollars,28.1,18.2,14.9,10.4,10.5,7.0
,26,Germany,Million dollars,22.7,18.8,8.1,8.1,11.2,3.8
,27,Mexico,Million dollars,7.6,6.0,3.5,2.5,2.9,2.3
,28,Chile,Million dollars,5.4,5.0,3.3,3.6,2.5,1.8
,29,Rest of world,Million dollars,10.3,11.9,6.9,3.4,3.0,4.5
,30,World,Million dollars,524.8,457.4,380.5,354.6,334.7,304.5
,31,World (quantity),"1,000 metric tons",99.4,92.0,88.7,88.6,98.9,86.1
,,,,,,,,,
Milk and cream 2/,32,Mexico,Million dollars,101.1,110.9,82.6,88.4,53.6,44.4
,33,Chile,Million dollars,38.8,36.3,13.7,22.7,21.7,23.3
,34,Netherlands,Million dollars,22.7,19.7,13.4,21.0,11.6,7.7
,35,Canada,Million dollars,15.7,19.0,26.7,25.1,9.8,7.2
,36,New Zealand,Million dollars,10.6,5.0,2.8,6.4,3.9,5.0
,37,Peru,Million dollars,5.7,3.9,0.8,0.6,11.4,18.3
,38,Rest of world,Million dollars,24.3,20.3,21.4,16.6,13.9,12.2
,39,World,Million dollars,218.9,215.1,161.4,180.8,125.9,118.1
,40,World (quantity),"1,000 metric tons",51.8,53.1,35.1,49.3,44.6,47.1
,,,,,,,,,
Butter or spreads,41,Ireland,Million dollars,345.1,334.0,272.4,212.5,213.4,181.2
,42,New Zealand,Million dollars,93.9,58.5,30.6,19.3,23.1,32.7
,43,Mexico,Million dollars,44.8,14.5,7.9,36.1,57.2,47.0
,44,France,Million dollars,25.1,21.9,18.1,13.0,14.1,15.0
,45,India,Million dollars,11.7,12.8,7.4,13.0,6.6,7.3
,46,Chile,Million dollars,3.1,5.0,1.9,6.3,7.7,0.4
,47,Rest of world,Million dollars,18.2,20.9,24.7,36.1,37.4,25.4
,48,World,Million dollars,541.9,467.6,363.0,336.3,359.5,309.0
,49,World (quantity),"1,000 metric tons",73.0,67.6,59.2,64.4,61.0,54.7
